date,time,windDir,windSpeed,temp,dewPoint,pressure
2011-01-01,00:20,320,05,06,02,1025
2011-01-01,01:20,310,04,06,02,1025
2011-01-01,02:20,300,05,06,02,1025
2011-01-01,03:20,270,05,05,02,1025
2011-01-01,04:20,260,07,05,02,1024
2011-01-01,05:20,270,08,05,02,1024
2011-01-01,06:20,270,08,05,02,1024
2011-01-01,07:20,280,06,05,02,1024
2011-01-01,08:20,290,05,05,02,1024
2011-01-01,09:20,290,06,05,03,1024
2011-01-01,10:20,290,04,06,03,1024
2011-01-01,11:20,320,05,06,04,1024
2011-01-01,12:20,330,04,07,05,1024
2011-01-01,13:20,330,05,07,05,1024
2011-01-01,14:20,340,04,07,05,1024
2011-01-01,15:20,360,05,07,05,1024
2011-01-01,16:20,050,07,06,05,1025
2011-01-01,17:20,060,07,06,04,1025
2011-01-01,18:20,060,05,05,03,1025
2011-01-01,19:20,060,05,05,03,1025
2011-01-01,20:20,060,06,05,02,1026
2011-01-01,21:20,030,04,05,02,1026
2011-01-01,22:20,030,05,04,02,1026
2011-01-01,23:20,360,04,04,02,1027
2011-01-02,00:20,020,04,04,01,1027
2011-01-02,01:20,030,04,03,01,1027
2011-01-02,02:20,030,05,03,01,1027
2011-01-02,03:20,020,04,03,00,1027
2011-01-02,04:20,360,04,03,00,1027
2011-01-02,05:20,010,04,02,-00,1027
2011-01-02,06:20,020,05,02,-01,1027
2011-01-02,07:20,360,04,02,-00,1028
2011-01-02,09:20,360,04,02,-00,1029
2011-01-02,10:20,360,05,03,-00,1029
2011-01-02,12:20,360,04,04,-00,1029
2011-01-02,13:20,360,04,04,-01,1028
2011-01-02,14:20,360,04,04,-01,1028
2011-01-02,16:20,360,03,03,-01,1028
2011-01-02,17:20,350,03,03,-01,1029
2011-01-02,21:20,310,04,02,-02,1028
2011-01-02,22:20,300,04,02,-02,1028
2011-01-02,23:20,290,05,02,-02,1028
2011-01-03,00:20,300,04,02,-02,1028
2011-01-03,01:20,290,04,02,-02,1028
2011-01-03,02:20,300,02,02,-02,1027
2011-01-03,03:20,270,02,01,-02,1027
2011-01-03,04:20,040,04,01,-02,1027
2011-01-03,06:20,280,03,-00,-03,1026
2011-01-03,07:20,290,02,-01,-03,1026
2011-01-03,08:20,330,02,-00,-03,1026
2011-01-03,13:20,150,04,02,-02,1024
2011-01-03,15:20,170,04,02,-01,1023
2011-01-03,16:20,130,04,02,-02,1022
2011-01-03,18:20,160,05,02,-02,1021
2011-01-03,19:20,160,05,02,-01,1021
2011-01-03,20:20,160,04,02,-01,1021
2011-01-03,21:20,170,04,02,-01,1020
2011-01-03,22:20,160,05,02,-01,1020
2011-01-03,23:20,150,03,01,-01,1019
2011-01-04,01:20,170,02,02,-01,1018
2011-01-04,02:20,150,03,02,-00,1018
2011-01-04,07:20,270,05,02,00,1015
2011-01-04,08:20,310,02,01,-00,1015
2011-01-04,09:20,210,05,01,00,1015
2011-01-04,10:20,210,05,02,01,1014
2011-01-04,11:20,200,05,03,01,1013
2011-01-04,12:20,240,05,03,01,1013
2011-01-04,13:20,220,07,04,00,1012
2011-01-04,14:20,220,06,04,00,1012
2011-01-04,15:20,220,07,04,01,1012
2011-01-04,16:20,230,09,04,01,1011
2011-01-04,17:20,220,07,03,01,1011
2011-01-04,18:20,220,08,04,02,1010
2011-01-04,19:20,210,09,04,02,1010
2011-01-04,20:20,200,07,04,02,1009
2011-01-04,21:20,200,08,04,02,1009
2011-01-04,22:20,190,08,04,02,1008
2011-01-04,23:20,220,09,05,03,1008
2011-01-05,00:20,210,10,05,04,1007
2011-01-05,01:20,210,09,06,04,1007
2011-01-05,02:20,220,08,06,04,1007
2011-01-05,03:20,200,09,05,04,1006
2011-01-05,04:20,210,10,06,03,1005
2011-01-05,05:20,200,12,05,03,1004
2011-01-05,06:20,200,13,05,02,1003
2011-01-05,07:20,190,11,04,01,1003
2011-01-05,08:20,190,11,04,01,1002
2011-01-05,09:20,180,12,05,01,1002
2011-01-05,10:20,190,14,06,01,1001
2011-01-05,11:20,190,15,06,01,1000
2011-01-05,12:20,190,15,06,00,0999
2011-01-05,13:20,190,15,06,01,0998
2011-01-05,14:20,190,13,06,01,0997
2011-01-05,15:20,200,10,05,03,0997
2011-01-05,16:20,190,09,05,03,0996
2011-01-05,17:20,190,09,05,04,0995
